;Unnamed: 0;country;nuts_1;cases;cases/100k pop.;deaths;datetime;datum
4291;4291;DE;Saarland;9713;984,20589185996;211;2020-11-13T23:00:00;2020-11-13 23:00:00.000
4307;4307;DE;Saarland;10110;1024,43339511008;214;2020-11-14T23:00:00;2020-11-14 23:00:00.000
4323;4323;DE;Saarland;10110;1024,43339511008;214;2020-11-15T23:00:00;2020-11-15 23:00:00.000
4339;4339;DE;Saarland;10300;1043,68585258495;217;2020-11-16T23:00:00;2020-11-16 23:00:00.000
4355;4355;DE;Saarland;10524;1066,38348666058;228;2020-11-17T23:00:00;2020-11-17 23:00:00.000
4371;4371;DE;Saarland;10627;1076,8203451864301;231;2020-11-18T23:00:00;2020-11-18 23:00:00.000
4387;4387;DE;Saarland;11006;1115,22393141261;234;2020-11-19T23:00:00;2020-11-19 23:00:00.000
4403;4403;DE;Saarland;11247;1139,64415378863;234;2020-11-20T23:00:00;2020-11-20 23:00:00.000
4419;4419;DE;Saarland;11345;1149,57436869672;236;2020-11-21T23:00:00;2020-11-21 23:00:00.000
4435;4435;DE;Saarland;11385;1153,6275176388;236;2020-11-22T23:00:00;2020-11-22 23:00:00.000
4451;4451;DE;Saarland;11561;1171,46137298394;239;2020-11-23T23:00:00;2020-11-23 23:00:00.000
4467;4467;DE;Saarland;11686;1184,1274634279305;248;2020-11-24T23:00:00;2020-11-24 23:00:00.000
4483;4483;DE;Saarland;11960;1211,89153368116;249;2020-11-25T23:00:00;2020-11-25 23:00:00.000
4499;4499;DE;Saarland;12041;1220,0991602888698;249;2020-11-26T23:00:00;2020-11-26 23:00:00.000
4515;4515;DE;Saarland;12237;1239,95959010505;250;2020-11-27T23:00:00;2020-11-27 23:00:00.000
4531;4531;DE;Saarland;12486;1265,1904422694802;251;2020-11-28T23:00:00;2020-11-28 23:00:00.000
4547;4547;DE;Saarland;12673;1284,13891357369;252;2020-11-29T23:00:00;2020-11-29 23:00:00.000
4563;4563;DE;Saarland;12814;1298,42626359451;255;2020-11-30T23:00:00;2020-11-30 23:00:00.000
4579;4579;DE;Saarland;12884;1305,51927424315;258;2020-12-01T23:00:00;2020-12-01 23:00:00.000
4594;4594;DE;Saarland;13064;1323,7584444825;262;2020-12-02T23:00:00;2020-12-02 23:00:00.000
4610;4610;DE;Saarland;13212;1338,75509556819;262;2020-12-03T23:00:00;2020-12-03 23:00:00.000
4626;4626;DE;Saarland;13643;1382,4277754190698;268;2020-12-04T23:00:00;2020-12-04 23:00:00.000
4642;4642;DE;Saarland;13887;1407,15198396574;271;2020-12-05T23:00:00;2020-12-05 23:00:00.000
4658;4658;DE;Saarland;13887;1407,15198396574;271;2020-12-06T23:00:00;2020-12-06 23:00:00.000
4674;4674;DE;Saarland;14173;1436,1319989016001;276;2020-12-07T23:00:00;2020-12-07 23:00:00.000
4690;4690;DE;Saarland;14412;1460,3495638305099;286;2020-12-08T23:00:00;2020-12-08 23:00:00.000
4706;4706;DE;Saarland;14643;1483,75649897101;287;2020-12-09T23:00:00;2020-12-09 23:00:00.000
4722;4722;DE;Saarland;15178;1537,96736607129;294;2020-12-10T23:00:00;2020-12-10 23:00:00.000
4738;4738;DE;Saarland;15460;1566,5420661129401;296;2020-12-11T23:00:00;2020-12-11 23:00:00.000
4754;4754;DE;Saarland;15588;1579,5121427275901;301;2020-12-12T23:00:00;2020-12-12 23:00:00.000
4770;4770;DE;Saarland;15996;1620,8542619367804;307;2020-12-13T23:00:00;2020-12-13 23:00:00.000
4786;4786;DE;Saarland;16098;1631,1897917390695;313;2020-12-14T23:00:00;2020-12-14 23:00:00.000
4802;4802;DE;Saarland;16159;1637,37084387574;313;2020-12-15T23:00:00;2020-12-15 23:00:00.000
4818;4818;DE;Saarland;16523;1674,2544992486498;325;2020-12-16T23:00:00;2020-12-16 23:00:00.000
4834;4834;DE;Saarland;17114;1734,13977486784;338;2020-12-17T23:00:00;2020-12-17 23:00:00.000
4850;4850;DE;Saarland;17358;1758,86398341451;349;2020-12-18T23:00:00;2020-12-18 23:00:00.000
4866;4866;DE;Saarland;17520;1775,2792366299302;352;2020-12-19T23:00:00;2020-12-19 23:00:00.000
4882;4882;DE;Saarland;17732;1796,7609260229394;360;2020-12-20T23:00:00;2020-12-20 23:00:00.000
4898;4898;DE;Saarland;17977;1821,58646329316;369;2020-12-21T23:00:00;2020-12-21 23:00:00.000
4914;4914;DE;Saarland;18184;1842,56150906841;377;2020-12-22T23:00:00;2020-12-22 23:00:00.000
4930;4930;DE;Saarland;18549;1879,54649316487;387;2020-12-23T23:00:00;2020-12-23 23:00:00.000
4946;4946;DE;Saarland;18938;1918,9633666265693;399;2020-12-24T23:00:00;2020-12-24 23:00:00.000
4962;4962;DE;Saarland;19122;1937,60785176013;406;2020-12-25T23:00:00;2020-12-25 23:00:00.000
4978;4978;DE;Saarland;19150;1940,44505601958;406;2020-12-26T23:00:00;2020-12-26 23:00:00.000
4994;4994;DE;Saarland;19322;1957,87359647052;412;2020-12-27T23:00:00;2020-12-27 23:00:00.000
5010;5010;DE;Saarland;19341;1959,798842218;412;2020-12-28T23:00:00;2020-12-28 23:00:00.000
5026;5026;DE;Saarland;19539;1979,86192948129;421;2020-12-29T23:00:00;2020-12-29 23:00:00.000
5042;5042;DE;Saarland;19879;2014,3136954889496;432;2020-12-30T23:00:00;2020-12-30 23:00:00.000
5058;5058;DE;Saarland;20000;2026,57447103873;433;2020-12-31T23:00:00;2020-12-31 23:00:00.000
5074;5074;DE;Saarland;20111;2037,8219593529998;440;2021-01-01T23:00:00;2021-01-01 23:00:00.000
5090;5090;DE;Saarland;20141;2040,8618210595496;441;2021-01-02T23:00:00;2021-01-02 23:00:00.000
5106;5106;DE;Saarland;20199;2046,73888702557;445;2021-01-03T23:00:00;2021-01-03 23:00:00.000
5122;5122;DE;Saarland;20272;2054,13588384486;455;2021-01-04T23:00:00;2021-01-04 23:00:00.000
5138;5138;DE;Saarland;20497;2076,93484664404;467;2021-01-05T23:00:00;2021-01-05 23:00:00.000
5154;5154;DE;Saarland;20805;2108,1440934980396;483;2021-01-06T23:00:00;2021-01-06 23:00:00.000
5170;5170;DE;Saarland;21321;2160,42971485084;497;2021-01-07T23:00:00;2021-01-07 23:00:00.000
5186;5186;DE;Saarland;21642;2192,9562351110103;529;2021-01-08T23:00:00;2021-01-08 23:00:00.000
5202;5202;DE;Saarland;21868;2215,85652663375;540;2021-01-09T23:00:00;2021-01-09 23:00:00.000
5218;5218;DE;Saarland;21900;2219,0990457874104;543;2021-01-10T23:00:00;2021-01-10 23:00:00.000
5234;5234;DE;Saarland;22142;2243,62059688698;555;2021-01-11T23:00:00;2021-01-11 23:00:00.000
5250;5250;DE;Saarland;22279;2257,50263201359;566;2021-01-12T23:00:00;2021-01-12 23:00:00.000
5266;5266;DE;Saarland;22542;2284,15208630775;588;2021-01-13T23:00:00;2021-01-13 23:00:00.000
5282;5282;DE;Saarland;22742;2304,41783101814;599;2021-01-14T23:00:00;2021-01-14 23:00:00.000
5298;5298;DE;Saarland;22939;2324,37958955787;606;2021-01-15T23:00:00;2021-01-15 23:00:00.000
5314;5314;DE;Saarland;23132;2343,9360332034;608;2021-01-16T23:00:00;2021-01-16 23:00:00.000
5330;5330;DE;Saarland;23146;2345,35463533312;611;2021-01-17T23:00:00;2021-01-17 23:00:00.000
5346;5346;DE;Saarland;23204;2351,23170129914;628;2021-01-18T23:00:00;2021-01-18 23:00:00.000
5362;5362;DE;Saarland;23420;2373,11870558635;632;2021-01-19T23:00:00;2021-01-19 23:00:00.000
5378;5378;DE;Saarland;23628;2394,19508008516;645;2021-01-20T23:00:00;2021-01-20 23:00:00.000
5394;5394;DE;Saarland;23873;2419,0206173553797;654;2021-01-21T23:00:00;2021-01-21 23:00:00.000
5410;5410;DE;Saarland;24068;2438,77971844801;681;2021-01-22T23:00:00;2021-01-22 23:00:00.000
5426;5426;DE;Saarland;24249;2457,12021741091;686;2021-01-23T23:00:00;2021-01-23 23:00:00.000
5442;5442;DE;Saarland;24288;2461,07203762943;689;2021-01-24T23:00:00;2021-01-24 23:00:00.000
5458;5458;DE;Saarland;24396;2472,01553977304;696;2021-01-25T23:00:00;2021-01-25 23:00:00.000
